"id","name","description","price","image","category","created_at","updated_at"
"1","Syntax Error Shield","Protect your code from syntax errors with real-time detection and correction.","19.99","/assets/images/syntaxshield.png","Error Protection","2025-04-11 20:36:52.808146","2025-04-11 20:36:52.808146"
"2","Infinite Loop Guard","Prevent infinite loops from crashing your application with smart loop analysis.","24.99","/assets/images/loopguard.png","Error Protection","2025-04-11 20:36:52.849805","2025-04-11 20:36:52.849805"
"3","Undefined Variable Protector","Identify and fix undefined variables before they cause runtime errors.","29.99","/assets/images/undefinedvariable.png","Error Protection","2025-04-11 20:36:52.883894","2025-04-11 20:36:52.883894"
"5","Callback Hell Rescuer","Transform nested callbacks into clean, readable async/await code.","34.99","/assets/images/callbackhell.png","Code Quality","2025-04-11 20:36:52.953984","2025-04-11 20:36:52.953984"
"6","Memory Leak Fixer","Detect and fix memory leaks to keep your application running smoothly.","49.99","/assets/images/memoryleak.png","Performance Repair","2025-04-11 20:36:52.99385","2025-04-11 20:36:52.99385"
"7","Code Formatter","Automatically format your code to improve readability and maintain consistency.","9.99","/assets/images/codeformatter.png","Code Quality","2025-04-11 20:36:53.03031","2025-04-11 20:36:53.03031"
"8","Error Logger","Log errors with detailed stack traces to help you debug faster.","14.99","/assets/images/errorlogger.png","Debugging Tools","2025-04-11 20:36:53.064989","2025-04-11 20:36:53.064989"
"9","Performance Profiler","Profile your application to find performance bottlenecks.","39.99","/assets/images/performanceprofiler.png","Performance Repair","2025-04-11 20:36:53.100801","2025-04-11 20:36:53.100801"
"10","Security Scanner","Scan your code for security vulnerabilities.","59.99","/assets/images/securityscanner.png","Security","2025-04-11 20:36:53.133879","2025-04-11 20:36:53.133879"
"11","Accessibility Checker","Ensure your web applications are accessible to all users.","19.99","/assets/images/accessibilitychecker.png","Accessibility","2025-04-11 20:36:53.166319","2025-04-11 20:36:53.166319"
"12","Responsive Design Tester","Test your website on different screen sizes and devices.","29.99","/assets/images/responsivedesigntester.png","Design Tools","2025-04-11 20:36:53.198602","2025-04-11 20:36:53.198602"
"13","Unit Test Generator","Generate unit tests for your functions automatically.","24.99","/assets/images/unittestgenerator.png","Testing Tools","2025-04-11 20:36:53.230905","2025-04-11 20:36:53.230905"
"14","Code Complexity Analyzer","Analyze your code to find complex and hard-to-maintain areas.","19.99","/assets/images/codecomplexityanalyzer.png","Code Quality","2025-04-11 20:36:53.264063","2025-04-11 20:36:53.264063"
"16","Code Coverage Reporter","Generate reports to see how much of your code is covered by tests.","29.99","/assets/images/codecoveragereporter.png","Testing Tools","2025-04-11 20:36:53.336878","2025-04-11 20:36:53.336878"
"17","API Mocking Tool","Mock APIs to test your application without hitting the real endpoints.","34.99","/assets/images/apimockingtool.png","Testing Tools","2025-04-11 20:36:53.373174","2025-04-11 20:36:53.373174"
"18","Data Migration Assistant","Assist in migrating data between different databases.","49.99","/assets/images/datamigrationassistant.png","Database Tools","2025-04-11 20:36:53.406731","2025-04-11 20:36:53.406731"
"19","GraphQL Explorer","Explore and test your GraphQL APIs with ease.","19.99","/assets/images/graphqlexplorer.png","API Tools","2025-04-11 20:36:53.440121","2025-04-11 20:36:53.440121"
"20","Docker Image Optimizer","Optimize your Docker images to reduce size and improve performance.","39.99","/assets/images/dockerimageoptimizer.png","DevOps Tools","2025-04-11 20:36:53.475854","2025-04-11 20:36:53.475854"